name,address,phone,service,discription
大瀬崎,静岡県沼津市西浦江梨３３１,090-0000-0000,はまゆう,ポイントが多く全天候対応可
浮島,静岡県賀茂郡西伊豆町仁科３０２８−２,090-0000-0001,サンセットリゾート ダイブセンター,ウミウシ天国
伊豆海洋公園,静岡県伊東市富戸８４１−１,090-0000-0002,IOP,海中ポスト
富戸,静岡県伊東市 富戸987,090-0000-0003,富戸ダイビングサービス,魚影の濃さ
神子元,静岡県下田市田牛,090-0000-0004,神子元ハンマーず,ハンマーヘッドシャークの群れ
中木,静岡県賀茂郡南伊豆町中木４８−１,090-0000-0005,中木マリンセンター,黒潮ダイビング
城ヶ島,神奈川県三浦市三崎町城ヶ島６６９−１,090-0000-0006,城ヶ島ダイビングサービス,安全なビーチと地形派なボート
石橋,神奈川県小田原市石橋５−４,090-0000-0007,石橋ダイビングサービス,初心者講習にもってこい！BBQもできる！
勝山,千葉県安房郡鋸南町勝山２３４,090-0000-0008,勝山ダイビングサービス,マクロ天国
波左間,千葉県館山市波左間１０１２,090-0000-0009,波佐間ダイビングサービス,頼子とマンボウ
利島,東京都利島村1481,090-0000-0010,利島ダイビングサービス,ドルフィンスイム
小笠原,東京都小笠原村父島東町,090-0000-0011,小笠原ダイビングサービス,小笠原ブルー
,,,,
,,,,
,,,,
,,2,,
