name,address,phone,service,discription,location_id
大瀬崎,静岡県沼津市西浦江梨３３１,090-0000-0000,はまゆう,ポイントが多く全天候対応可,17
浮島,静岡県賀茂郡西伊豆町仁科３０２８−２,090-0000-0001,サンセットリゾート ダイブセンター,ウミウシ天国,17
伊豆海洋公園,静岡県伊東市富戸８４１−１,090-0000-0002,IOP,海中ポスト,17
富戸,静岡県伊東市 富戸987,090-0000-0003,富戸ダイビングサービス,魚影の濃さ,17
神子元,静岡県下田市田牛,090-0000-0004,神子元ハンマーず,ハンマーヘッドシャークの群れ,17
中木,静岡県賀茂郡南伊豆町中木４８−１,090-0000-0005,中木マリンセンター,黒潮ダイビング,17
城ヶ島,神奈川県三浦市三崎町城ヶ島６６９−１,090-0000-0006,城ヶ島ダイビングサービス,安全なビーチと地形派なボート,17
石橋,神奈川県小田原市石橋５−４,090-0000-0007,石橋ダイビングサービス,初心者講習にもってこい！BBQもできる！,17
勝山,千葉県安房郡鋸南町勝山２３４,090-0000-0008,勝山ダイビングサービス,マクロ天国,17
波左間,千葉県館山市波左間１０１２,090-0000-0009,波佐間ダイビングサービス,頼子とマンボウ,17
利島,東京都利島村1481,090-0000-0010,利島ダイビングサービス,ドルフィンスイム,17
小笠原,東京都小笠原村父島東町,090-0000-0011,小笠原ダイビングサービス,小笠原ブルー,17
積丹半島,,,,,17
ウトロ,,,,,17
男鹿半島,,,,,17
女川,,,,,17
越前海岸,,,,,17
能登半島,,,,,17
甲賀,,,,,17
本栖湖,,,,,17
すさみ,,,,,17
串本,,,,,17
青海島,,,,,17
瀬戸内,,,,,17
室戸,,,,,17
柏島,,,,,17
大分,,,,,17
鹿児島,,,,,17
チービシ,,,,,17
宮古島,,,,,17
